model,horizon,task_type,threshold_mode,n_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,positive_rate_true_mean,positive_rate_true_std,positive_rate_pred_mean,positive_rate_pred_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,class_-1_f1_mean,class_-1_f1_std,class_0_f1_mean,class_0_f1_std,class_1_f1_mean,class_1_f1_std,pred_down_rate_mean,pred_down_rate_std,pred_neutral_rate_mean,pred_neutral_rate_std,pred_up_rate_mean,pred_up_rate_std,total_return_mean,total_return_std,annual_return_mean,annual_return_std,annual_volatility_mean,annual_volatility_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,trades_mean,trades_std,turnover_mean,turnover_std,avg_position_mean,avg_position_std,exposure_rate_mean,exposure_rate_std,no_trade_rate_mean,no_trade_rate_std,non_overlap_total_return_mean,non_overlap_total_return_std,non_overlap_annual_return_mean,non_overlap_annual_return_std,non_overlap_sharpe_mean,non_overlap_sharpe_std,non_overlap_max_drawdown_mean,non_overlap_max_drawdown_std,non_overlap_trades_mean,non_overlap_trades_std,non_overlap_n_periods_mean,non_overlap_n_periods_std
DummyMostFrequent,20,three_class,fixed,17,0.6167,0.1584,0.3333,0.0,,,,,,,,,,,,,0.2056,0.0528,0.3333,0.0,0.2503,0.0436,0.4825,0.1877,0.0,0.0,0.0,0.0,0.751,0.1307,0.0,0.0,0.0,0.0,1.0,0.0,21.1078,39.9172,0.1541,0.2232,0.1359,0.0736,1.7104,1.8368,-0.5178,0.3229,1.0,0.0,0.0079,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0929,0.1437,0.1594,0.2315,2.0536,2.5565,-0.0562,0.0677,1.0,0.0,7.0,0.0
DummyMostFrequent,20,three_class,volatility_adjusted,17,0.4939,0.1575,0.3529,0.0554,,,,,,,,,,,,,0.1777,0.0759,0.3529,0.0554,0.2312,0.0782,0.3412,0.1683,0.0,0.0,0.0226,0.0933,0.624,0.2081,0.0,0.0,0.0588,0.2425,0.9412,0.2425,20.8524,40.0449,0.1441,0.2262,0.1334,0.0777,1.4807,1.7888,-0.5109,0.3331,0.9412,0.2425,0.0074,0.0019,0.9412,0.2425,0.9412,0.2425,0.0588,0.2425,0.087,0.1454,0.1493,0.2347,1.7818,2.5117,-0.0562,0.0677,0.9412,0.2425,7.0,0.0
DummyStratified,1,binary,fixed,17,0.5028,0.0427,0.4945,0.0432,0.5508,0.0592,0.5717,0.0387,0.5599,0.0436,0.4945,0.0432,0.5556,0.0463,0.5766,0.0112,,,,,,,,,,,,,,,,,,,,,0.0275,0.1086,0.0535,0.2122,0.1292,0.0514,0.3544,1.3887,-0.0773,0.0433,53.0,1.8708,0.4206,0.0148,0.5766,0.0112,0.5766,0.0112,0.4234,0.0112,0.0275,0.1086,0.0535,0.2122,0.3544,1.3887,-0.0773,0.0433,53.0,1.8708,126.0,0.0
DummyStratified,1,three_class,fixed,17,0.3996,0.0421,0.3346,0.0462,,,,,,,,,,,,,0.3398,0.0534,0.3346,0.0462,0.3321,0.0428,0.4018,0.0465,0.3779,0.0597,0.145,0.1006,0.4735,0.05,0.4113,0.0085,0.1116,0.0114,0.4771,0.0092,-0.0108,0.0952,-0.0224,0.1854,0.115,0.0473,-0.0341,1.3571,-0.0872,0.0625,62.1176,0.8575,0.493,0.0068,0.4771,0.0092,0.4771,0.0092,0.5229,0.0092,-0.0108,0.0952,-0.0224,0.1854,-0.0341,1.3571,-0.0872,0.0625,62.1176,0.8575,126.0,0.0
DummyStratified,1,three_class,volatility_adjusted,17,0.3427,0.0365,0.3179,0.0328,,,,,,,,,,,,,0.318,0.0322,0.3179,0.0328,0.3155,0.0327,0.3412,0.0394,0.2178,0.0571,0.4483,0.0613,0.2802,0.0533,0.2437,0.0078,0.4715,0.0182,0.2848,0.014,-0.0431,0.0718,-0.0876,0.1535,0.0968,0.0561,-0.7252,1.1764,-0.0853,0.0723,53.0588,1.9834,0.4211,0.0157,0.2848,0.014,0.2848,0.014,0.7152,0.014,-0.0431,0.0718,-0.0876,0.1535,-0.7252,1.1764,-0.0853,0.0723,53.0588,1.9834,126.0,0.0
DummyStratified,5,binary,fixed,17,0.5229,0.0625,0.4899,0.054,0.6149,0.1059,0.6293,0.0414,0.6189,0.0691,0.4899,0.054,0.6237,0.0841,0.6405,0.0125,,,,,,,,,,,,,,,,,,,,,0.3487,0.578,0.096,0.167,0.124,0.0481,0.973,1.2293,-0.2389,0.1637,51.3529,0.7859,0.4076,0.0062,0.6405,0.0125,0.6405,0.0125,0.3595,0.0125,0.0341,0.0959,0.0659,0.1806,0.5217,1.3258,-0.0686,0.0453,10.7647,0.6642,26.0,0.0
DummyStratified,5,three_class,fixed,17,0.3996,0.0511,0.3144,0.0384,,,,,,,,,,,,,0.3181,0.0366,0.3144,0.0384,0.3111,0.0371,0.4061,0.0565,0.2802,0.0824,0.1197,0.0688,0.5333,0.064,0.303,0.0113,0.1531,0.015,0.5439,0.0109,0.1854,0.378,0.0548,0.1385,0.1171,0.0502,0.6931,1.1648,-0.2341,0.1741,57.5882,1.3257,0.4571,0.0105,0.5439,0.0109,0.5439,0.0109,0.4561,0.0109,0.0259,0.1112,0.0474,0.2136,0.5854,1.5911,-0.0766,0.0676,13.1176,0.3321,26.0,0.0
DummyStratified,5,three_class,volatility_adjusted,17,0.3515,0.0366,0.3303,0.033,,,,,,,,,,,,,0.3301,0.0334,0.3303,0.033,0.3233,0.0335,0.3521,0.0385,0.1892,0.0615,0.4203,0.0633,0.3602,0.0627,0.2138,0.0127,0.4482,0.034,0.338,0.0337,0.0834,0.258,0.025,0.1079,0.0993,0.0471,0.4807,0.8987,-0.1677,0.1478,58.8235,3.4683,0.4669,0.0275,0.338,0.0337,0.338,0.0337,0.662,0.0337,0.0198,0.0917,0.0376,0.1776,0.5157,1.7151,-0.0545,0.0468,13.6471,2.4734,26.0,0.0
DummyStratified,10,binary,fixed,17,0.5593,0.0705,0.5038,0.0511,0.6738,0.1398,0.6669,0.0451,0.6642,0.0878,0.5038,0.0511,0.6718,0.126,0.6681,0.0218,,,,,,,,,,,,,,,,,,,,,1.2765,1.9672,0.1068,0.1779,0.122,0.0527,1.1936,1.3731,-0.3414,0.2535,52.6471,0.7859,0.4178,0.0062,0.6681,0.0218,0.6681,0.0218,0.3319,0.0218,0.06,0.1215,0.1097,0.2178,1.2362,1.5074,-0.0524,0.0593,6.2353,0.6642,13.0,0.0
DummyStratified,10,three_class,fixed,17,0.4234,0.055,0.3198,0.0614,,,,,,,,,,,,,0.3259,0.0543,0.3198,0.0614,0.3144,0.0526,0.439,0.0681,0.2314,0.1027,0.1454,0.1086,0.5663,0.0698,0.2675,0.0148,0.1625,0.0306,0.57,0.0313,0.6489,1.1075,0.0637,0.1426,0.1156,0.0504,0.8321,1.1978,-0.346,0.2398,57.9412,1.2976,0.4599,0.0103,0.57,0.0313,0.57,0.0313,0.43,0.0313,0.0073,0.0813,0.0137,0.1636,0.4202,1.6058,-0.0562,0.0542,7.0588,0.5557,13.0,0.0
