model,horizon,task_type,threshold_mode,n_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,positive_rate_true_mean,positive_rate_true_std,positive_rate_pred_mean,positive_rate_pred_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,class_-1_f1_mean,class_-1_f1_std,class_0_f1_mean,class_0_f1_std,class_1_f1_mean,class_1_f1_std,pred_down_rate_mean,pred_down_rate_std,pred_neutral_rate_mean,pred_neutral_rate_std,pred_up_rate_mean,pred_up_rate_std,total_return_mean,total_return_std,annual_return_mean,annual_return_std,annual_volatility_mean,annual_volatility_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,trades_mean,trades_std,turnover_mean,turnover_std,avg_position_mean,avg_position_std,exposure_rate_mean,exposure_rate_std,no_trade_rate_mean,no_trade_rate_std,non_overlap_total_return_mean,non_overlap_total_return_std,non_overlap_annual_return_mean,non_overlap_annual_return_std,non_overlap_sharpe_mean,non_overlap_sharpe_std,non_overlap_max_drawdown_mean,non_overlap_max_drawdown_std,non_overlap_trades_mean,non_overlap_trades_std,non_overlap_n_periods_mean,non_overlap_n_periods_std
GradientBoostingClassifier,10,binary,fixed,17,0.5542,0.1519,0.5495,0.1072,0.7231,0.193,0.6064,0.3407,0.5894,0.2282,0.556,0.1572,0.6718,0.126,0.5677,0.3316,,,,,,,,,,,,,,,,,,,,,1.3698,2.0514,0.1173,0.1665,0.1115,0.0539,1.3734,1.3139,-0.2851,0.276,11.4118,11.7636,0.0906,0.0934,0.5677,0.3316,0.5677,0.3316,0.4323,0.3316,0.0475,0.109,0.089,0.1984,1.2664,1.5892,-0.0518,0.0603,2.6471,1.4116,13.0,0.0
GradientBoostingClassifier,10,three_class,fixed,17,0.4426,0.1362,0.366,0.0892,,,,,,,,,,,,,0.3787,0.1377,0.366,0.0892,0.2971,0.0911,0.4136,0.111,0.2727,0.2206,0.1085,0.1795,0.51,0.184,0.4048,0.335,0.1289,0.2249,0.4664,0.3101,1.213,2.145,0.1002,0.1645,0.1137,0.0637,1.2091,1.1821,-0.2781,0.293,15.0,11.2694,0.1191,0.0894,0.4664,0.3101,0.4664,0.3101,0.5336,0.3101,0.0469,0.1025,0.0878,0.1906,1.1932,1.477,-0.0432,0.0531,3.2353,2.1946,13.0,0.0
GradientBoostingClassifier,10,three_class,volatility_adjusted,17,0.3604,0.0944,0.3744,0.0724,,,,,,,,,,,,,0.4182,0.113,0.3744,0.0724,0.3144,0.0765,0.338,0.0851,0.2376,0.1855,0.382,0.1431,0.3236,0.1427,0.3305,0.2528,0.4015,0.2039,0.268,0.2265,0.4602,0.7815,0.0594,0.0926,0.0888,0.0562,0.8931,0.7321,-0.1929,0.2296,17.0,7.7862,0.1349,0.0618,0.268,0.2265,0.268,0.2265,0.732,0.2265,0.0229,0.0691,0.0462,0.1296,0.8774,0.9379,-0.0369,0.052,3.7647,2.8838,13.0,0.0
GradientBoostingClassifier,20,binary,fixed,17,0.5233,0.1923,0.5579,0.0803,0.7432,0.1956,0.5942,0.3208,0.5875,0.2053,0.5768,0.1668,0.705,0.1765,0.5598,0.306,,,,,,,,,,,,,,,,,,,,,5.8577,11.0296,0.1035,0.1652,0.1087,0.0579,1.311,1.3004,-0.3583,0.3257,9.7059,4.9087,0.077,0.039,0.5598,0.306,0.5598,0.306,0.4402,0.306,0.0819,0.1087,0.14,0.1866,2.0771,2.1809,-0.027,0.0472,2.5882,1.5024,7.0,0.0
GradientBoostingClassifier,20,three_class,fixed,17,0.3968,0.2163,0.3726,0.0837,,,,,,,,,,,,,0.3345,0.0924,0.3726,0.0837,0.2565,0.1227,0.3634,0.1935,0.2223,0.2082,0.0418,0.0533,0.5052,0.2617,0.401,0.3137,0.1204,0.1596,0.4785,0.3503,5.5607,11.2332,0.0938,0.1547,0.0962,0.0504,1.2015,1.286,-0.3119,0.3201,7.6471,5.8196,0.0607,0.0462,0.4785,0.3503,0.4785,0.3503,0.5215,0.3503,0.0664,0.0937,0.115,0.1561,1.6597,2.158,-0.0246,0.0441,2.1765,1.38,7.0,0.0
GradientBoostingClassifier,20,three_class,volatility_adjusted,17,0.3305,0.161,0.3765,0.1162,,,,,,,,,,,,,0.3597,0.1186,0.3744,0.1216,0.2697,0.1145,0.2921,0.1349,0.2178,0.2017,0.1798,0.1501,0.3888,0.2402,0.3768,0.2958,0.2498,0.2076,0.3735,0.3269,5.0042,11.2241,0.0888,0.1328,0.0866,0.0533,1.0829,1.2184,-0.2599,0.2837,11.9412,8.3327,0.0948,0.0661,0.3735,0.3269,0.3735,0.3269,0.6265,0.3269,0.0568,0.0936,0.0981,0.1557,1.3622,2.2306,-0.0214,0.0361,1.8824,1.6539,7.0,0.0
LogisticRegression,1,binary,fixed,17,0.5047,0.0674,0.4971,0.0191,0.3917,0.2647,0.6033,0.4533,0.4573,0.3227,0.4664,0.047,0.5556,0.0463,0.6064,0.4542,,,,,,,,,,,,,,,,,,,,,0.024,0.1069,0.0496,0.205,0.1205,0.1057,0.4974,1.2002,-0.0806,0.0903,1.4706,2.2671,0.0117,0.018,0.6064,0.4542,0.6064,0.4542,0.3936,0.4542,0.024,0.1069,0.0496,0.205,0.4974,1.2002,-0.0806,0.0903,1.4706,2.2671,126.0,0.0
LogisticRegression,1,three_class,fixed,17,0.2857,0.1103,0.3473,0.0265,,,,,,,,,,,,,0.2047,0.1151,0.3473,0.0265,0.1814,0.0628,0.1922,0.105,0.2539,0.2438,0.1289,0.1285,0.1612,0.2145,0.373,0.4393,0.443,0.4288,0.1839,0.3018,-0.0049,0.0548,-0.0093,0.1095,0.0557,0.0641,0.065,1.0688,-0.0365,0.0545,2.1765,3.1072,0.0173,0.0246,0.1839,0.3018,0.1839,0.3018,0.8161,0.3018,-0.0049,0.0548,-0.0093,0.1095,0.065,1.0688,-0.0365,0.0545,2.1765,3.1072,126.0,0.0
LogisticRegression,1,three_class,volatility_adjusted,17,0.3062,0.1033,0.3318,0.0145,,,,,,,,,,,,,0.1205,0.0623,0.3318,0.0145,0.1647,0.0485,0.1623,0.0975,0.2105,0.1862,0.116,0.255,0.1676,0.2365,0.5149,0.4824,0.1779,0.3923,0.3072,0.4394,0.0138,0.088,0.0252,0.1762,0.0577,0.0841,0.2432,1.0579,-0.04,0.0685,0.8235,1.4678,0.0065,0.0116,0.3072,0.4394,0.3072,0.4394,0.6928,0.4394,0.0138,0.088,0.0252,0.1762,0.2432,1.0579,-0.04,0.0685,0.8235,1.4678,126.0,0.0
LogisticRegression,5,binary,fixed,17,0.4753,0.1551,0.4875,0.0324,0.3041,0.3083,0.4183,0.4738,0.342,0.3733,0.4918,0.1104,0.6237,0.0841,0.4276,0.4726,,,,,,,,,,,,,,,,,,,,,0.1733,0.5074,0.0391,0.1584,0.0734,0.0845,0.5129,1.3357,-0.1775,0.2287,0.8824,1.6539,0.007,0.0131,0.4276,0.4726,0.4276,0.4726,0.5724,0.4726,0.0198,0.0926,0.036,0.1737,0.518,1.4756,-0.0474,0.0642,0.7647,1.2005,26.0,0.0
LogisticRegression,5,three_class,fixed,17,0.218,0.0836,0.3339,0.042,,,,,,,,,,,,,0.1592,0.1329,0.3339,0.042,0.1459,0.0626,0.1376,0.1016,0.1482,0.1898,0.1883,0.1433,0.1012,0.1596,0.2885,0.4227,0.6382,0.4033,0.0733,0.1119,0.0341,0.2617,0.0053,0.0957,0.0422,0.0742,0.2138,0.8274,-0.0903,0.185,1.1765,2.2146,0.0093,0.0176,0.0733,0.1119,0.0733,0.1119,0.9267,0.1119,0.0031,0.0534,0.0061,0.0998,0.2014,0.9104,-0.0212,0.0438,1.0588,2.1057,26.0,0.0
LogisticRegression,5,three_class,volatility_adjusted,17,0.3375,0.124,0.3346,0.0224,,,,,,,,,,,,,0.1709,0.1444,0.3346,0.0224,0.189,0.0809,0.2075,0.1247,0.1736,0.1978,0.1289,0.2171,0.2644,0.2949,0.437,0.4889,0.1545,0.3112,0.4085,0.4646,0.2334,0.4378,0.0703,0.1202,0.0618,0.0714,0.5905,1.019,-0.1373,0.174,1.0,1.4577,0.0079,0.0116,0.4085,0.4646,0.4085,0.4646,0.5915,0.4646,0.0386,0.0701,0.074,0.1283,0.6391,1.0846,-0.0326,0.0424,1.0,1.4577,26.0,0.0
LogisticRegression,10,binary,fixed,17,0.5079,0.2197,0.4956,0.0441,0.418,0.3315,0.5172,0.4759,0.4435,0.3852,0.512,0.1639,0.6718,0.126,0.5196,0.4767,,,,,,,,,,,,,,,,,,,,,0.7134,1.5461,0.0646,0.1358,0.0819,0.0737,0.6073,1.1836,-0.2817,0.2852,1.2941,1.7235,0.0103,0.0137,0.5196,0.4767,0.5196,0.4767,0.4804,0.4767,0.0438,0.0746,0.0836,0.1369,0.8621,1.3301,-0.035,0.0429,1.1765,1.4246,13.0,0.0
LogisticRegression,10,three_class,fixed,17,0.2362,0.112,0.333,0.0412,,,,,,,,,,,,,0.1579,0.1015,0.333,0.0412,0.1506,0.0618,0.1514,0.1054,0.21,0.2306,0.1546,0.1442,0.0871,0.1539,0.4435,0.4618,0.4883,0.4274,0.0682,0.1238,0.1408,0.4861,0.017,0.0634,0.0328,0.0471,0.2038,0.6058,-0.0792,0.1476,1.5882,2.32,0.0126,0.0184,0.0682,0.1238,0.0682,0.1238,0.9318,0.1238,0.0113,0.0313,0.022,0.0605,0.2554,0.6956,-0.0064,0.0141,0.8824,1.6539,13.0,0.0
LogisticRegression,10,three_class,volatility_adjusted,17,0.2647,0.1502,0.334,0.0385,,,,,,,,,,,,,0.1424,0.1055,0.334,0.0385,0.1542,0.0761,0.1576,0.1305,0.2423,0.1797,0.0639,0.1465,0.1564,0.2676,0.7414,0.3959,0.0327,0.0731,0.226,0.393,0.171,0.5414,0.02,0.0721,0.034,0.0557,0.2314,0.8208,-0.1295,0.2308,0.6471,1.3666,0.0051,0.0108,0.226,0.393,0.226,0.393,0.774,0.393,0.0093,0.0427,0.018,0.0818,0.2616,0.8741,-0.017,0.0363,0.6471,1.3666,13.0,0.0
LogisticRegression,20,binary,fixed,17,0.3483,0.2238,0.4891,0.0259,0.2676,0.3142,0.341,0.4593,0.2654,0.3429,0.5403,0.2366,0.705,0.1765,0.3483,0.4588,,,,,,,,,,,,,,,,,,,,,8.4252,33.9513,0.0148,0.1677,0.0667,0.0814,0.1783,1.0973,-0.3093,0.3807,0.7647,1.2515,0.0061,0.0099,0.3483,0.4588,0.3483,0.4588,0.6517,0.4588,0.0229,0.1238,0.0348,0.2013,0.4482,1.5417,-0.0234,0.0496,0.6471,0.8618,7.0,0.0
LogisticRegression,20,three_class,fixed,17,0.2605,0.1927,0.3337,0.0141,,,,,,,,,,,,,0.1592,0.1555,0.3337,0.0141,0.1468,0.0785,0.1687,0.1645,0.2335,0.2386,0.0903,0.1458,0.1166,0.2317,0.5626,0.4853,0.2927,0.4236,0.1447,0.3268,0.3858,1.0869,0.0192,0.0519,0.0313,0.0555,0.2192,0.6019,-0.1231,0.2432,1.2353,2.4117,0.0098,0.0191,0.1447,0.3268,0.1447,0.3268,0.8553,0.3268,0.0132,0.0382,0.0236,0.0676,0.1366,0.7553,-0.0062,0.0175,0.2941,0.5879,7.0,0.0
LogisticRegression,20,three_class,volatility_adjusted,17,0.2932,0.204,0.3189,0.1317,,,,,,,,,,,,,0.1396,0.1212,0.3189,0.1317,0.1731,0.1236,0.1915,0.1756,0.1983,0.2219,0.0961,0.1915,0.225,0.3204,0.6433,0.4579,0.0462,0.0902,0.3105,0.444,0.6642,1.3547,0.0321,0.0624,0.0382,0.0563,0.3727,0.7746,-0.2007,0.3071,0.9412,1.7128,0.0075,0.0136,0.3105,0.444,0.3105,0.444,0.6895,0.444,0.017,0.0363,0.0311,0.0646,0.3089,0.6532,-0.0153,0.0256,0.5882,1.0037,7.0,0.0
RandomForestClassifier,1,binary,fixed,17,0.4785,0.0507,0.4973,0.0498,0.5892,0.1382,0.394,0.2551,0.4131,0.1704,0.4966,0.0602,0.5556,0.0463,0.3954,0.2537,,,,,,,,,,,,,,,,,,,,,0.0071,0.0779,0.0201,0.1505,0.1302,0.0787,0.3135,0.934,-0.0824,0.0629,26.1176,14.6197,0.2073,0.116,0.3954,0.2537,0.3954,0.2537,0.6046,0.2537,0.0071,0.0779,0.0201,0.1505,0.3135,0.934,-0.0824,0.0629,26.1176,14.6197,126.0,0.0
RandomForestClassifier,1,three_class,fixed,17,0.3693,0.0664,0.3237,0.042,,,,,,,,,,,,,0.3197,0.0658,0.3237,0.042,0.2914,0.0392,0.3518,0.0723,0.389,0.0999,0.1091,0.1081,0.3761,0.1244,0.4981,0.1717,0.1428,0.1406,0.359,0.166,-0.0256,0.0993,-0.0518,0.1949,0.1153,0.0783,-0.1887,1.4514,-0.0889,0.0753,31.9412,13.8901,0.2535,0.1102,0.359,0.166,0.359,0.166,0.641,0.166,-0.0256,0.0993,-0.0518,0.1949,-0.1887,1.4514,-0.0889,0.0753,31.9412,13.8901,126.0,0.0
RandomForestClassifier,1,three_class,volatility_adjusted,17,0.3861,0.044,0.3754,0.044,,,,,,,,,,,,,0.3804,0.0691,0.3754,0.044,0.3458,0.0492,0.3693,0.0508,0.2435,0.1265,0.5049,0.0643,0.2891,0.1272,0.3053,0.1906,0.4094,0.1497,0.2853,0.1916,-0.0036,0.0787,-0.004,0.1592,0.1123,0.082,0.2146,1.3771,-0.0751,0.0679,21.8824,12.9416,0.1737,0.1027,0.2853,0.1916,0.2853,0.1916,0.7147,0.1916,-0.0036,0.0787,-0.004,0.1592,0.2146,1.3771,-0.0751,0.0679,21.8824,12.9416,126.0,0.0
RandomForestClassifier,5,binary,fixed,17,0.4697,0.0923,0.5108,0.0619,0.6557,0.1469,0.4058,0.2618,0.4436,0.1881,0.5181,0.1042,0.6237,0.0841,0.395,0.2568,,,,,,,,,,,,,,,,,,,,,0.2487,0.4878,0.0642,0.1708,0.1102,0.0669,0.9163,1.2553,-0.2029,0.2036,17.2941,12.2207,0.1373,0.097,0.395,0.2568,0.395,0.2568,0.605,0.2568,0.035,0.1118,0.0631,0.2095,0.7599,1.5006,-0.0537,0.0644,6.4706,3.891,26.0,0.0
RandomForestClassifier,5,three_class,fixed,17,0.3688,0.1106,0.3608,0.0441,,,,,,,,,,,,,0.3498,0.1349,0.3608,0.0441,0.2823,0.0867,0.3285,0.1233,0.3679,0.1478,0.1161,0.1218,0.363,0.1987,0.5355,0.2893,0.1424,0.1919,0.3221,0.2437,0.1268,0.3526,0.0329,0.1399,0.1002,0.0705,0.6879,1.2288,-0.172,0.1957,21.1176,14.3129,0.1676,0.1136,0.3221,0.2437,0.3221,0.2437,0.6779,0.2437,0.0158,0.0904,0.0287,0.1782,0.6443,1.358,-0.0454,0.0652,5.5882,4.0629,26.0,0.0
RandomForestClassifier,5,three_class,volatility_adjusted,17,0.3305,0.086,0.3762,0.0779,,,,,,,,,,,,,0.363,0.1326,0.3762,0.0779,0.3033,0.0992,0.304,0.111,0.289,0.1514,0.3527,0.1715,0.2682,0.1534,0.4855,0.2658,0.2885,0.1982,0.226,0.16,0.058,0.2851,0.0132,0.1133,0.0909,0.0653,0.5137,1.1378,-0.1616,0.1883,18.0,11.726,0.1429,0.0931,0.226,0.16,0.226,0.16,0.774,0.16,0.006,0.0737,0.0116,0.1416,0.3605,1.2849,-0.0415,0.0576,5.7647,3.632,26.0,0.0
RandomForestClassifier,10,binary,fixed,17,0.5061,0.1525,0.5579,0.0946,0.7609,0.1798,0.4962,0.3133,0.5199,0.2171,0.5724,0.1641,0.6718,0.126,0.4533,0.3028,,,,,,,,,,,,,,,,,,,,,0.8397,1.3209,0.0765,0.1622,0.1118,0.0686,1.1871,1.2555,-0.2718,0.3032,11.4706,6.3356,0.091,0.0503,0.4533,0.3028,0.4533,0.3028,0.5467,0.3028,0.038,0.0939,0.0723,0.1759,1.2897,1.4541,-0.0447,0.0595,2.8824,1.409,13.0,0.0
RandomForestClassifier,10,three_class,fixed,17,0.3931,0.1572,0.3592,0.0804,,,,,,,,,,,,,0.3728,0.0987,0.3592,0.0804,0.2829,0.1014,0.3693,0.1585,0.3117,0.1803,0.098,0.1404,0.4392,0.2317,0.5191,0.2932,0.0878,0.1258,0.3931,0.2768,0.8111,1.8944,0.0539,0.1733,0.1074,0.0711,0.8888,1.2657,-0.2802,0.2912,15.1765,11.0127,0.1204,0.0874,0.3931,0.2768,0.3931,0.2768,0.6069,0.2768,0.0334,0.1071,0.0613,0.1945,0.8922,1.5313,-0.039,0.0486,3.8235,2.5059,13.0,0.0
RandomForestClassifier,10,three_class,volatility_adjusted,17,0.3422,0.1184,0.3797,0.1137,,,,,,,,,,,,,0.3859,0.1401,0.3797,0.1137,0.3031,0.1117,0.3244,0.1214,0.233,0.1854,0.3686,0.1656,0.3077,0.1765,0.4085,0.2732,0.331,0.2048,0.2605,0.212,0.3074,0.6213,0.0383,0.0922,0.0865,0.0579,0.6807,0.9174,-0.2235,0.2368,14.1176,9.6364,0.112,0.0765,0.2605,0.212,0.2605,0.212,0.7395,0.212,0.0133,0.0805,0.026,0.151,0.4818,1.349,-0.0395,0.0502,3.5294,2.8965,13.0,0.0
RandomForestClassifier,20,binary,fixed,17,0.4599,0.1908,0.5468,0.1022,0.6918,0.2669,0.4957,0.3391,0.4984,0.2446,0.5668,0.1696,0.705,0.1765,0.4655,0.3142,,,,,,,,,,,,,,,,,,,,,3.1856,4.1583,0.0816,0.1486,0.1011,0.0649,1.0441,1.151,-0.3113,0.3308,7.8235,6.4637,0.0621,0.0513,0.4655,0.3142,0.4655,0.3142,0.5345,0.3142,0.0506,0.0907,0.0887,0.1605,1.2309,1.3034,-0.0267,0.0472,2.5294,1.6247,7.0,0.0
RandomForestClassifier,20,three_class,fixed,17,0.3604,0.1798,0.3648,0.0789,,,,,,,,,,,,,0.3151,0.1154,0.3648,0.0789,0.2419,0.1214,0.324,0.1836,0.2078,0.2136,0.0782,0.1219,0.4398,0.2619,0.4552,0.3475,0.1321,0.2393,0.4127,0.331,2.4745,3.7423,0.0704,0.1354,0.0917,0.0615,0.8948,1.0597,-0.2844,0.3298,9.5882,7.9926,0.0761,0.0634,0.4127,0.331,0.4127,0.331,0.5873,0.331,0.044,0.0678,0.0793,0.1194,1.0304,1.0591,-0.026,0.0444,2.0588,1.4778,7.0,0.0
RandomForestClassifier,20,three_class,volatility_adjusted,17,0.3259,0.1489,0.3623,0.1154,,,,,,,,,,,,,0.3152,0.1672,0.3538,0.1255,0.2528,0.123,0.2849,0.1508,0.202,0.2022,0.1824,0.1688,0.3739,0.2514,0.4048,0.3227,0.2068,0.255,0.3884,0.3359,2.6667,5.0229,0.0614,0.1294,0.0855,0.0612,0.7944,1.0616,-0.2992,0.346,9.1176,6.9811,0.0724,0.0554,0.3884,0.3359,0.3884,0.3359,0.6116,0.3359,0.0409,0.0788,0.072,0.1344,0.9538,1.3575,-0.0257,0.0457,1.5882,1.2277,7.0,0.0
