fold_id,horizon,task_type,threshold_mode,threshold_value,vol_k,accuracy,balanced_accuracy,train_size,test_size,train_start,train_end,test_start,test_end,precision,recall,f1,roc_auc,positive_rate_true,positive_rate_pred,model,total_return,annual_return,annual_volatility,sharpe,max_drawdown,trades,turnover,avg_position,exposure_rate,no_trade_rate,non_overlap_total_return,non_overlap_annual_return,non_overlap_sharpe,non_overlap_max_drawdown,non_overlap_trades,non_overlap_n_periods,macro_precision,macro_recall,macro_f1,weighted_f1,class_-1_f1,class_0_f1,class_1_f1,pred_down_rate,pred_neutral_rate,pred_up_rate
3,1,binary,fixed,0.0,,0.5079,0.5054,878,126,2015-03-30,2018-09-20,2018-09-21,2019-03-25,0.5205,0.5846,0.5507,0.5054,0.5159,0.5794,DummyStratified,0.0213,0.0537,0.152,0.3534,-0.0969,53,0.4206,0.5794,0.5794,0.4206,0.0213,0.0537,0.3534,-0.0969,53,126,,,,,,,,,,
3,1,binary,fixed,0.0,,0.4365,0.4306,878,126,2015-03-30,2018-09-20,2018-09-21,2019-03-25,0.4651,0.6154,0.5298,0.4053,0.5159,0.6825,LogisticRegression,-0.0892,-0.1767,0.1412,-1.2519,-0.1491,9,0.0714,0.6825,0.6825,0.3175,-0.0892,-0.1767,-1.2519,-0.1491,9,126,,,,,,,,,,
3,1,binary,fixed,0.0,,0.4048,0.4029,878,126,2015-03-30,2018-09-20,2018-09-21,2019-03-25,0.4286,0.4615,0.4444,0.3927,0.5159,0.5556,RandomForestClassifier,-0.1006,-0.1981,0.1661,-1.1931,-0.1847,25,0.1984,0.5556,0.5556,0.4444,-0.1006,-0.1981,-1.1931,-0.1847,25,126,,,,,,,,,,
3,1,binary,fixed,0.0,,0.4603,0.4537,878,126,2015-03-30,2018-09-20,2018-09-21,2019-03-25,0.4831,0.6615,0.5584,0.3955,0.5159,0.7063,GradientBoostingClassifier,-0.107,-0.2112,0.1742,-1.2122,-0.2123,39,0.3095,0.7063,0.7063,0.2937,-0.107,-0.2112,-1.2122,-0.2123,39,126,,,,,,,,,,
4,1,binary,fixed,0.0,,0.5476,0.5,1004,126,2015-03-30,2019-03-25,2019-03-26,2019-09-23,0.5476,1.0,0.7077,0.5,0.5476,1.0,DummyMostFrequent,0.0619,0.1293,0.1344,0.9621,-0.0662,1,0.0079,1.0,1.0,0.0,0.0619,0.1293,0.9621,-0.0662,1,126,,,,,,,,,,
4,1,binary,fixed,0.0,,0.4841,0.4771,1004,126,2015-03-30,2019-03-25,2019-03-26,2019-09-23,0.5278,0.5507,0.539,0.4771,0.5476,0.5714,DummyStratified,-0.0161,-0.0267,0.1062,-0.2517,-0.0703,55,0.4365,0.5714,0.5714,0.4286,-0.0161,-0.0267,-0.2517,-0.0703,55,126,,,,,,,,,,
4,1,binary,fixed,0.0,,0.5,0.4809,1004,126,2015-03-30,2019-03-25,2019-03-26,2019-09-23,0.5341,0.6812,0.5987,0.5253,0.5476,0.6984,LogisticRegression,0.0442,0.0946,0.1265,0.7478,-0.0571,5,0.0397,0.6984,0.6984,0.3016,0.0442,0.0946,0.7478,-0.0571,5,126,,,,,,,,,,
4,1,binary,fixed,0.0,,0.4683,0.5145,1004,126,2015-03-30,2019-03-25,2019-03-26,2019-09-23,1.0,0.029,0.0563,0.5861,0.5476,0.0159,RandomForestClassifier,0.0011,0.0023,0.0032,0.7138,-0.0005,4,0.0317,0.0159,0.0159,0.9841,0.0011,0.0023,0.7138,-0.0005,4,126,,,,,,,,,,
4,1,binary,fixed,0.0,,0.4762,0.5111,1004,126,2015-03-30,2019-03-25,2019-03-26,2019-09-23,0.5882,0.1449,0.2326,0.4717,0.5476,0.1349,GradientBoostingClassifier,0.0057,0.0118,0.0317,0.3719,-0.0191,24,0.1905,0.1349,0.1349,0.8651,0.0057,0.0118,0.3719,-0.0191,24,126,,,,,,,,,,
5,1,binary,fixed,0.0,,0.5794,0.5,1130,126,2015-03-30,2019-09-23,2019-09-24,2020-03-24,0.5794,1.0,0.7337,0.5,0.5794,1.0,DummyMostFrequent,-0.1573,-0.2709,0.3742,-0.7239,-0.3372,1,0.0079,1.0,1.0,0.0,-0.1573,-0.2709,-0.7239,-0.3372,1,126,,,,,,,,,,
5,1,binary,fixed,0.0,,0.5476,0.5372,1130,126,2015-03-30,2019-09-23,2019-09-24,2020-03-24,0.6111,0.6027,0.6069,0.5372,0.5794,0.5714,DummyStratified,0.1664,0.3392,0.2529,1.3415,-0.0917,55,0.4365,0.5714,0.5714,0.4286,0.1664,0.3392,1.3415,-0.0917,55,126,,,,,,,,,,
5,1,binary,fixed,0.0,,0.5794,0.5,1130,126,2015-03-30,2019-09-23,2019-09-24,2020-03-24,0.5794,1.0,0.7337,0.4073,0.5794,1.0,LogisticRegression,-0.1573,-0.2709,0.3742,-0.7239,-0.3372,1,0.0079,1.0,1.0,0.0,-0.1573,-0.2709,-0.7239,-0.3372,1,126,,,,,,,,,,
5,1,binary,fixed,0.0,,0.4603,0.5136,1130,126,2015-03-30,2019-09-23,2019-09-24,2020-03-24,0.619,0.1781,0.2766,0.4254,0.5794,0.1667,RandomForestClassifier,-0.0616,-0.0758,0.318,-0.2383,-0.2224,11,0.0873,0.1667,0.1667,0.8333,-0.0616,-0.0758,-0.2383,-0.2224,11,126,,,,,,,,,,
5,1,binary,fixed,0.0,,0.4286,0.4681,1130,126,2015-03-30,2019-09-23,2019-09-24,2020-03-24,0.5161,0.2192,0.3077,0.4399,0.5794,0.246,GradientBoostingClassifier,-0.1371,-0.2455,0.3116,-0.7878,-0.2232,5,0.0397,0.246,0.246,0.754,-0.1371,-0.2455,-0.7878,-0.2232,5,126,,,,,,,,,,
6,1,binary,fixed,0.0,,0.627,0.5,1256,126,2015-03-30,2020-03-24,2020-03-25,2020-09-22,0.627,1.0,0.7707,0.5,0.627,1.0,DummyMostFrequent,0.3177,0.5882,0.2678,2.1966,-0.0944,1,0.0079,1.0,1.0,0.0,0.3177,0.5882,2.1966,-0.0944,1,126,,,,,,,,,,
6,1,binary,fixed,0.0,,0.5556,0.5378,1256,126,2015-03-30,2020-03-24,2020-03-25,2020-09-22,0.6575,0.6076,0.6316,0.5378,0.627,0.5794,DummyStratified,0.1995,0.3808,0.1829,2.082,-0.0623,53,0.4206,0.5794,0.5794,0.4206,0.1995,0.3808,2.082,-0.0623,53,126,,,,,,,,,,
6,1,binary,fixed,0.0,,0.5873,0.5244,1256,126,2015-03-30,2020-03-24,2020-03-25,2020-09-22,0.6421,0.7722,0.7011,0.5241,0.627,0.754,LogisticRegression,0.112,0.2285,0.1786,1.2797,-0.0944,1,0.0079,0.754,0.754,0.246,0.112,0.2285,1.2797,-0.0944,1,126,,,,,,,,,,
6,1,binary,fixed,0.0,,0.4603,0.5265,1256,126,2015-03-30,2020-03-24,2020-03-25,2020-09-22,0.6774,0.2658,0.3818,0.5675,0.627,0.246,RandomForestClassifier,0.21,0.4001,0.1939,2.0639,-0.0592,22,0.1746,0.246,0.246,0.754,0.21,0.4001,2.0639,-0.0592,22,126,,,,,,,,,,
6,1,binary,fixed,0.0,,0.4762,0.5478,1256,126,2015-03-30,2020-03-24,2020-03-25,2020-09-22,0.7241,0.2658,0.3889,0.6251,0.627,0.2302,GradientBoostingClassifier,0.127,0.2429,0.0861,2.8206,-0.0382,28,0.2222,0.2302,0.2302,0.7698,0.127,0.2429,2.8206,-0.0382,28,126,,,,,,,,,,
7,1,binary,fixed,0.0,,0.5556,0.5,1382,126,2015-03-30,2020-09-22,2020-09-23,2021-03-24,0.5556,1.0,0.7143,0.5,0.5556,1.0,DummyMostFrequent,0.2164,0.4047,0.159,2.5447,-0.0735,1,0.0079,1.0,1.0,0.0,0.2164,0.4047,2.5447,-0.0735,1,126,,,,,,,,,,
7,1,binary,fixed,0.0,,0.4444,0.4339,1382,126,2015-03-30,2020-09-22,2020-09-23,2021-03-24,0.5,0.5286,0.5139,0.4339,0.5556,0.5873,DummyStratified,-0.0398,-0.0742,0.1186,-0.6255,-0.0921,51,0.4048,0.5873,0.5873,0.4127,-0.0398,-0.0742,-0.6255,-0.0921,51,126,,,,,,,,,,
7,1,binary,fixed,0.0,,0.5556,0.5,1382,126,2015-03-30,2020-09-22,2020-09-23,2021-03-24,0.5556,1.0,0.7143,0.4469,0.5556,1.0,LogisticRegression,0.2164,0.4047,0.159,2.5447,-0.0735,1,0.0079,1.0,1.0,0.0,0.2164,0.4047,2.5447,-0.0735,1,126,,,,,,,,,,
7,1,binary,fixed,0.0,,0.4921,0.5375,1382,126,2015-03-30,2020-09-22,2020-09-23,2021-03-24,0.75,0.1286,0.2195,0.4832,0.5556,0.0952,RandomForestClassifier,-0.0029,-0.0037,0.0643,-0.057,-0.0416,20,0.1587,0.0952,0.0952,0.9048,-0.0029,-0.0037,-0.057,-0.0416,20,126,,,,,,,,,,
7,1,binary,fixed,0.0,,0.4603,0.4607,1382,126,2015-03-30,2020-09-22,2020-09-23,2021-03-24,0.5161,0.4571,0.4848,0.4423,0.5556,0.4921,GradientBoostingClassifier,-0.0228,-0.0409,0.101,-0.4051,-0.0696,34,0.2698,0.4921,0.4921,0.5079,-0.0228,-0.0409,-0.4051,-0.0696,34,126,,,,,,,,,,
8,1,binary,fixed,0.0,,0.5714,0.5,1508,126,2015-03-30,2021-03-24,2021-03-25,2021-09-22,0.5714,1.0,0.7273,0.5,0.5714,1.0,DummyMostFrequent,0.144,0.275,0.1072,2.5666,-0.0401,1,0.0079,1.0,1.0,0.0,0.144,0.275,2.5666,-0.0401,1,126,,,,,,,,,,
8,1,binary,fixed,0.0,,0.5079,0.4954,1508,126,2015-03-30,2021-03-24,2021-03-25,2021-09-22,0.5676,0.5833,0.5753,0.4954,0.5714,0.5873,DummyStratified,0.0495,0.1011,0.0942,1.0728,-0.056,51,0.4048,0.5873,0.5873,0.4127,0.0495,0.1011,1.0728,-0.056,51,126,,,,,,,,,,
