fold_id,threshold,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,class_-1_precision,class_-1_recall,class_-1_f1,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,true_down_rate,true_neutral_rate,true_up_rate,pred_down_rate,pred_neutral_rate,pred_up_rate,train_size,test_size,train_start,train_end,test_start,test_end,model,total_return,annual_return,annual_volatility,sharpe,max_drawdown,trades,turnover,avg_position,exposure_rate,no_trade_rate
3,0.0005,0.4683,0.3333,0.1561,0.3333,0.2126,0.2987,0.0,0.0,0.0,0.0,0.0,0.0,0.4683,1.0,0.6378,0.4603,0.0714,0.4683,0.0,0.0,1.0,878,126,2015-03-30,2018-09-20,2018-09-21,2019-03-25,DummyMostFrequent,-0.0278,-0.0378,0.193,-0.1959,-0.192,1,0.0079,1.0,1.0,0.0
3,0.0005,0.4444,0.3504,0.3495,0.3504,0.3495,0.4475,0.4909,0.4655,0.4779,0.0909,0.1111,0.1,0.4667,0.4746,0.4706,0.4603,0.0714,0.4683,0.4365,0.0873,0.4762,878,126,2015-03-30,2018-09-20,2018-09-21,2019-03-25,DummyStratified,0.0092,0.0284,0.1417,0.2004,-0.0606,64,0.5079,0.4762,0.4762,0.5238
3,0.0005,0.1984,0.3306,0.2472,0.3306,0.196,0.2116,0.3333,0.1897,0.2418,0.0882,0.6667,0.1558,0.32,0.1356,0.1905,0.4603,0.0714,0.4683,0.2619,0.5397,0.1984,878,126,2015-03-30,2018-09-20,2018-09-21,2019-03-25,LogisticRegression,-0.1343,-0.2838,0.0956,-2.9691,-0.1343,8,0.0635,0.1984,0.1984,0.8016
3,0.0005,0.3651,0.2929,0.3263,0.2929,0.2987,0.3561,0.34,0.2931,0.3148,0.25,0.1111,0.1538,0.3889,0.4746,0.4275,0.4603,0.0714,0.4683,0.3968,0.0317,0.5714,878,126,2015-03-30,2018-09-20,2018-09-21,2019-03-25,RandomForestClassifier,-0.0943,-0.1836,0.1698,-1.0813,-0.1479,22,0.1746,0.5714,0.5714,0.4286
3,0.0005,0.3889,0.2786,0.2664,0.2786,0.2685,0.3744,0.3913,0.3103,0.3462,0.0,0.0,0.0,0.4079,0.5254,0.4593,0.4603,0.0714,0.4683,0.3651,0.0317,0.6032,878,126,2015-03-30,2018-09-20,2018-09-21,2019-03-25,GradientBoostingClassifier,-0.0574,-0.1045,0.1655,-0.6316,-0.1398,48,0.381,0.6032,0.6032,0.3968
4,0.0005,0.5238,0.3333,0.1746,0.3333,0.2292,0.3601,0.0,0.0,0.0,0.0,0.0,0.0,0.5238,1.0,0.6875,0.3968,0.0794,0.5238,0.0,0.0,1.0,1004,126,2015-03-30,2019-03-25,2019-03-26,2019-09-23,DummyMostFrequent,0.0619,0.1293,0.1344,0.9621,-0.0662,1,0.0079,1.0,1.0,0.0
4,0.0005,0.4762,0.4267,0.4197,0.4267,0.4222,0.4785,0.4364,0.48,0.4571,0.2727,0.3,0.2857,0.55,0.5,0.5238,0.3968,0.0794,0.5238,0.4365,0.0873,0.4762,1004,126,2015-03-30,2019-03-25,2019-03-26,2019-09-23,DummyStratified,0.068,0.1347,0.0798,1.6873,-0.0406,64,0.5079,0.4762,0.4762,0.5238
4,0.0005,0.0794,0.3333,0.0265,0.3333,0.049,0.0117,0.0,0.0,0.0,0.0794,1.0,0.1471,0.0,0.0,0.0,0.3968,0.0794,0.5238,0.0,1.0,0.0,1004,126,2015-03-30,2019-03-25,2019-03-26,2019-09-23,LogisticRegression,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
4,0.0005,0.3651,0.36,0.1738,0.36,0.2339,0.2314,0.4037,0.88,0.5535,0.1176,0.2,0.1481,0.0,0.0,0.0,0.3968,0.0794,0.5238,0.8651,0.1349,0.0,1004,126,2015-03-30,2019-03-25,2019-03-26,2019-09-23,RandomForestClassifier,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
4,0.0005,0.2698,0.2921,0.3658,0.2921,0.2385,0.2806,0.3438,0.44,0.386,0.0612,0.3,0.1017,0.6923,0.1364,0.2278,0.3968,0.0794,0.5238,0.5079,0.3889,0.1032,1004,126,2015-03-30,2019-03-25,2019-03-26,2019-09-23,GradientBoostingClassifier,0.0263,0.0523,0.029,1.8056,-0.011,16,0.127,0.1032,0.1032,0.8968
