model,fold_id,threshold,total_return,annual_return,annual_volatility,sharpe,max_drawdown,trades,turnover,avg_position,exposure_rate,no_trade_rate
RandomForestClassifier,13,0.002,0.0191,0.0385,0.0365,1.0558,-0.011,8,0.0635,0.0714,0.0714,0.9286
GradientBoostingClassifier,13,0.002,-0.0005,0.0012,0.0668,0.0172,-0.0581,18,0.1429,0.2778,0.2778,0.7222
DummyMostFrequent,14,0.002,0.1003,0.2,0.1331,1.5024,-0.0841,1,0.0079,1.0,1.0,0.0
DummyStratified,14,0.002,-0.0564,-0.111,0.1011,-1.0981,-0.1078,58,0.4603,0.4365,0.4365,0.5635
LogisticRegression,14,0.002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
RandomForestClassifier,14,0.002,-0.0661,-0.1352,0.0574,-2.3561,-0.075,22,0.1746,0.2302,0.2302,0.7698
GradientBoostingClassifier,14,0.002,0.0178,0.0382,0.0771,0.4954,-0.0534,22,0.1746,0.4365,0.4365,0.5635
DummyMostFrequent,15,0.002,-0.0168,-0.0236,0.1434,-0.1645,-0.1004,1,0.0079,1.0,1.0,0.0
DummyStratified,15,0.002,-0.0078,-0.0114,0.0938,-0.1211,-0.0504,58,0.4603,0.4365,0.4365,0.5635
LogisticRegression,15,0.002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
RandomForestClassifier,15,0.002,-0.0752,-0.1546,0.057,-2.7121,-0.0765,34,0.2698,0.1984,0.1984,0.8016
GradientBoostingClassifier,15,0.002,-0.0248,-0.0417,0.1297,-0.3217,-0.1004,27,0.2143,0.746,0.746,0.254
DummyMostFrequent,16,0.002,0.1971,0.3868,0.2328,1.6617,-0.1205,1,0.0079,1.0,1.0,0.0
DummyStratified,16,0.002,-0.0363,-0.0626,0.1494,-0.4189,-0.125,58,0.4603,0.4365,0.4365,0.5635
LogisticRegression,16,0.002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
RandomForestClassifier,16,0.002,0.0135,0.0444,0.1906,0.2332,-0.1074,14,0.1111,0.1111,0.1111,0.8889
GradientBoostingClassifier,16,0.002,0.168,0.3259,0.1776,1.8346,-0.0668,18,0.1429,0.2063,0.2063,0.7937
